"","Observed","Shannon","Simpson","InvSimpson","Type","Dilution","Kit","InputDNA","SampleGroup","Raw_reads","AMR_hits"
"SRR4425689",51,2.46918926062037,0.865218482217007,7.41941489047531,"Shotgun","Shotgun","Shotgun","Shotgun","Bovine fecal",7093810,21515
"SRR4425688",77,2.64944975665154,0.879626307600914,8.30746303506754,"Shotgun","Shotgun","Shotgun","Shotgun","Bovine fecal",7293175,24185
"SRR4425691",38,2.32474767000562,0.785364656818304,4.65906492927153,"Shotgun","Shotgun","Shotgun","Shotgun","Human wastewater",8428949,6642
"SRR4425695",220,3.81507029962644,0.937855323517557,16.0914829170045,"Shotgun","Shotgun","Shotgun","Shotgun","Porcine fecal",8606112,74725
"SRR4425683",283,4.75966727180107,0.980291693453353,50.740026680279,"Shotgun","Shotgun","Shotgun","Shotgun","Avian fecal",18192702,108697
"SRR4425684",278,4.83325904828497,0.983022308256401,58.9008220376599,"Shotgun","Shotgun","Shotgun","Shotgun","Avian fecal",19906366,104853
"SRR4425690",143,2.80468464345499,0.887151630646576,8.86144838183839,"Shotgun","Shotgun","Shotgun","Shotgun","Bovine fecal",20037290,58169
"SRR4425694",60,2.46721045966585,0.804649488420144,5.11900374313182,"Shotgun","Shotgun","Shotgun","Shotgun","Human wastewater",18730950,16815
"SRR4425656",55,2.53500311635593,0.817417009715438,5.4769614543034,"Shotgun","Shotgun","Shotgun","Shotgun","Human wastewater",18970282,16723
"SRR4425696",247,3.61825197496133,0.920812940778912,12.6283260148356,"Shotgun","Shotgun","Shotgun","Shotgun","Porcine fecal",20624405,132504
"SRR4425681",244,3.64043071361578,0.928060204702059,13.9005121693559,"Shotgun","Shotgun","Shotgun","Shotgun","Porcine fecal",21295142,131073
"SRR4425685",279,4.37470408484667,0.968514894781717,31.7610499652808,"Shotgun","Shotgun","Shotgun","Shotgun","Avian fecal",22447474,93388
"SRR4425692",63,2.48286903785722,0.803541969200213,5.09014569640634,"Shotgun","Shotgun","Shotgun","Shotgun","Human wastewater",21502479,19034
"SRR4425687",64,2.72995270945767,0.892311500712439,9.28604267508358,"Shotgun","Shotgun","Shotgun","Shotgun","Bovine fecal",23669498,59740
"SRR4425686",286,5.06937024903326,0.989172097287297,92.3539882591342,"Shotgun","Shotgun","Shotgun","Shotgun","Avian fecal",23916121,195384
"SRR4425682",247,3.84550449688974,0.937923954562621,16.1092736006964,"Shotgun","Shotgun","Shotgun","Shotgun","Porcine fecal",27649062,162704
